track_id,danceability,energy,valence,speechiness,duration_min,viral_score,is_viral
1,0.9132951499366675,0.4634305508218909,0.20518805335837517,0.10336176796302293,3.358532170545933,0.7576382823286764,Viral
2,0.5720257341831178,0.9678299244679661,0.5859577564538488,0.05550981899369837,3.876218572923495,0.4565186651151562,Non-Viral
3,0.5251236347266438,0.5087825111241666,0.5089380098481916,0.09747870308733404,2.8358647825417105,0.7985798693646211,Viral
4,0.9176433848301538,0.6575682966128092,0.38390981639375,0.04791662287166424,3.2558762445137224,0.6764215852566035,Viral
5,0.8374902654056883,0.7395869926725241,0.5201959964030507,0.050729228250128364,2.6614832116787737,0.9474627001585726,Viral
6,0.7753084893374229,0.5492312921703401,0.2115747728800209,0.08318577836687442,3.295268583651596,0.5978743229841743,Non-Viral
7,0.5542748430671128,0.777407482993222,0.4732681836735927,0.16039612102253892,2.561501565264909,0.9315170943929214,Viral
8,0.6609714259120687,0.7670225232805992,0.37034122697985855,0.02624120763461254,3.565329302522647,0.5641291767408656,Non-Viral
9,0.46839275223503113,0.8781778100503888,0.4764236939212803,0.03605883420727799,3.887639835388212,0.6193251889629208,Non-Viral
10,0.5843123477751311,0.6169648714608912,0.8356208283185721,0.008035103224847533,3.4714662033297112,0.544515781708731,Non-Viral
11,0.8649679937696544,0.8792386784234981,0.7937000819992374,0.09958146756153917,4.048621672194098,0.6080989106833457,Non-Viral
12,0.3817212593383674,0.6188523568855631,0.24422784176113624,0.24311320822827817,3.0885479407180347,0.6534789581655114,Viral
13,0.473607560379507,0.6466431806031371,0.2942819030845843,0.11105386012249509,3.189878169434321,0.3908615756249145,Non-Viral
14,0.9224398716100823,0.8530112355485745,0.3090913757476204,0.06852772383620923,3.3747043615049974,0.6992369923682922,Viral
15,0.6295285417750934,0.7466823700207744,0.5784418608842268,2.4244946982688277e-4,3.547031840268944,0.6962235473251296,Viral
16,0.8007200659414639,0.94794629297494,0.2602810819495652,0.10369117975890334,2.88950542595944,0.9709493713710196,Viral
17,0.9448529370034608,0.8296224215401655,0.34399645041938964,0.2078298524551594,3.898619552933503,0.7737471897785645,Viral
18,0.9211673257742181,0.8312196911346854,0.6463430330908946,0.05905934262295812,3.0554261589143734,0.8310426009313017,Viral
19,0.6703574696614963,0.8151946232325287,0.32531023031374057,0.048952369840128886,3.383521078134304,0.7638357880284952,Viral
20,0.7214686366171706,0.4558718940191245,0.39335376300923525,0.12755472866913556,4.031012754652243,0.4722446261084891,Non-Viral
21,0.7988021818269946,0.8004801129712625,0.7971755996570401,0.34795674492758355,3.7393924952286097,0.7186820309590178,Viral
22,0.7760637172904883,0.7681496159525397,0.6761451159025438,0.005802396472894772,4.255328193621752,0.5389688337922272,Non-Viral
23,0.8861982784210077,0.5408923077500987,0.8639049046006887,0.11009410844064484,2.7461544284038895,0.8377288705757424,Viral
24,0.8094245564923834,0.8255017046240231,0.22077087530818523,0.17433570389926223,3.550530931174192,0.7565734229048167,Viral
25,0.8195602531593574,0.7133782970626148,0.8746756122635134,0.11985715713051434,4.036295770162916,0.6132823392137448,Non-Viral
26,0.9625513652606404,0.8919654546094148,0.4451834317167858,0.025402521441615863,3.293714895845386,0.8109478608736521,Viral
27,0.6506803423848729,0.7542007505817944,0.34156388003365595,0.005337368376457919,3.8133751459811664,0.4551252318917925,Non-Viral
28,0.6785697920338493,0.6424053292912251,0.1905946472851741,0.05630630056488254,4.008156656916915,0.674137477823478,Viral
29,0.8296349982932423,0.6949537626905544,0.8329367370796735,0.047118569480829986,2.268150339225853,0.9045873964339164,Viral
30,0.7417752475487617,0.6592342060015264,0.4025082341288487,0.05441148291706041,3.6035556933224466,0.599597886786793,Non-Viral
31,0.7923776701847356,0.7152209727001444,0.4635705454671488,0.028074706593822836,4.388112103492969,0.39859912823130145,Non-Viral
32,0.7220450258476866,0.7889154719556416,0.7409485088672715,0.1852393272240547,3.4121453847673093,0.6109321201756002,Non-Viral
33,0.7200952888451492,0.7475340504190873,0.39506170492036113,0.024569361223531243,3.9619100581284137,0.4864723291097718,Non-Viral
34,0.6282190031887034,0.8392556517355736,0.834986675226011,0.12673195494156272,3.3483076014183455,0.6742468817942129,Viral
35,0.7620629561174936,0.3397494823367274,0.19199577648049607,0.0782905307749712,3.3731726396526143,0.6236383059593699,Non-Viral
36,0.697132000508149,0.7905050575431475,0.5485715378770787,0.13801228935717436,3.6830742134457592,0.5861090907487826,Non-Viral
37,0.6892488023559699,0.4943175953530499,0.42153134692924227,0.12579204223097565,4.139567919272458,0.48433825179658635,Non-Viral
38,0.6898224456175802,0.7289389795974967,0.5105710366633333,6.120123551724327e-5,3.3290127411388206,0.7424689954927015,Viral
39,0.5333619181073493,0.31954149948050165,0.429631052820535,0.00705679513468456,2.89175276428527,0.5350899168779183,Non-Viral
40,0.8958957971303128,0.6717639791394484,0.4434284552556161,0.03342112111968299,3.3311200554121037,0.7637818231382322,Viral
41,0.6244314055802643,0.45921974704149787,0.3590385332537665,0.06578565900453698,3.322612538141055,0.5040942178597271,Non-Viral
42,0.8302786285814041,0.35991811615989666,0.4487959307485603,0.06584706069689387,3.258410983508041,0.5918148581625156,Non-Viral
43,0.7633116692788706,0.6833950768991252,0.3818606228583377,0.06792690282461457,3.0794270262473953,0.7709970207904474,Viral
44,0.5573581361880925,0.618960670775585,0.21225345569294854,0.1486971376208663,4.0098998482143084,0.30268864741493695,Non-Viral
45,0.4990673838624657,0.7501533868171917,0.519068244499564,0.0998678352430157,3.459944320616129,0.5690558774167314,Non-Viral
